"學年度","學制","行政區","學校名稱","基本學區原文","自由學區原文","備註原文","頁碼"
"115","國小","汐止區","崇德國小","茄苳里、崇德里、
橋東里、建成里(1
-18鄰)、城中
里、新昌里(1-
14、31-35鄰)","一、新昌里(15
-30鄰)【崇
德、秀峰國小
自由學區】
二、建成里(19
-23鄰)【崇
德、長安國小
自由學區】","調整備註","33"
"115","國小","汐止區","北峰國小","中興里、福德里、
康福里、興福里、
環河里(6-10
鄰)、樟樹里(6
-8、10-11鄰)","樟樹里(9鄰)【北
峰、樟樹國小自由
學區】","","34"
"115","國小","汐止區","北港國小","拱北里、烘內里、
八連里(5-10鄰)","八連里(1-4鄰)
【北港、汐止國小
自由學區】","","34"
"115","國小","汐止區","長安國小","鄉長里、長安里、
保長里","建成里(19-23
鄰)【長安、崇德
國小自由學區】","","34"
"115","國小","汐止區","保長國小","保新里、保安里","","","34"
"115","國小","汐止區","白雲國小","橫科里、福山里","一、白雲里(1-9
鄰)【白雲、
汐止、秀峰國
小自由學區】
二、宜興里、東勢
里【白雲國
小、臺北市舊
莊、胡適國小
自由學區】
三、臺北市南港區
中研里、九如
里【白雲國小、
臺北市舊莊、胡
適、南港國小自
由學區】
四、臺北市南港區
舊莊里【白雲
國小、臺北市舊
莊國小自由學
區】
五、臺北市南港區
新富里【白雲
國小、臺北市
南港國小自
由學區】","一、開放為全市自
由學區。
二、舊莊里113年
於原舊莊里10鄰
上新增舊莊里36
鄰，維持原學區
(舊莊國小及白雲
國小共同學區)。
調整備註","34"
"115","國小","汐止區","東山國小","東山里","","開放為全市自由
學區。","35"
"115","國小","汐止區","樟樹國小","忠孝里、山光里、
厚德里、樟樹里(1
-5、12-14鄰)","樟樹里(9鄰)【樟
樹、北峰國小自由
學區】","","35"
"115","國小","汐止區","金龍國小","北峰里、金龍里、
湖光里、湖蓮里、
湖興里、北山里、
環河里(1-5鄰)","一、長青里【金龍
國小、臺北市
大湖國小自
由學區】
二、忠山里【金龍
國小、臺北市
東湖國小自
由學區】","","35"
"115","國小","汐止區","青山國中小國小部","文化里、自強里","白雲里(10-26
鄰)【青山國中小
國小部、秀峰國小
自由學區】","","35"
"115","國小","萬里區","萬里國小","萬里里、北基里、
龜吼里、中幅里","","","36"
"115","國小","萬里區","野柳國小","野柳里","","開放為全市自由
學區。","36"
"115","國小","萬里區","大鵬國小","大鵬里、磺潭里、
雙興里(9鄰)","","開放為全市自由
學區。","36"
"115","國小","萬里區","崁腳國小","崁腳里、溪底里(1
鄰)","","開放為全市自由
學區。","36"
"115","國小","萬里區","大坪國小","溪底里(1鄰除
外)、雙興里(9
鄰除外)","","開放為全市自由
學區。","36"
"115","國小","金山區","金山國小","三界里、和平里、
大同里、豐漁里、
磺港里、清泉里
(1、2鄰)、六
股里(1-5鄰)、
金美里(2、7、8、
10、14鄰)、美
田里(1-23鄰)","六股里6鄰因地
理環境特殊，限就
讀金山國小或三
和國小。","","37"
"115","國小","金山區","金美國小","五湖里、金美里
(1、3-6、9、11
-13、15-35
鄰)、美田里(24、
25鄰)","","","37"
"115","國小","金山區","三和國小","重和里、兩湖里、
六股里(7、8鄰)","六股里第6鄰因
地理環境特殊，限
就讀三和國小或
金山國小。","開放為全市自由
學區。","37"
"115","國小","金山區","中角國小","清泉里(3-10
鄰)、西湖里、萬
壽里、永興里","","開放為全市自由
學區。","37"
"115","國小","新店區","新店國小","新店里、國校里、
張南里、文中里、
廣明里、文明里、
中興里(15-18
鄰)、頂城里(1
-10鄰)、直潭
里(1-7鄰)、
塗潭里(1-3
鄰)、粗坑里(1、
2、3、9鄰)、太
平里","一、美城里【新
店、直潭國
小自由學
區】
二、青潭里(1-
2鄰)【新
店、青潭國
小自由學
區】","","38"
"115","國小","新店區","大豐國小","明德里、國豐里、
信義里、大豐里、
江陵里、大鵬里、
忠孝里、建國里、
百和里、大同里、
復興里、仁愛里
(13-19鄰)、
寶安里(14-39
鄰)","中山里、和平里
【大豐、中正國
小自由學區】","","38"
"115","國小","新店區","中正國小","新德里、中央里、
中正里、中華里、
福民里、百忍里、
百福里、新生里、
福德里","中山里、和平里
【中正、大豐國
小自由學區】","","38"
"115","國小","新店區","北新國小","五峰里、新安里、
忠誠里、寶興里、
張北里、寶福里、
中興里(1-14
鄰)、長春里、寶
安里(1-13鄰)、
仁愛里(1-12鄰)","美潭里(16-20
鄰)【北新、青
潭國小自由學
區】","","38"
"115","國小","新店區","安坑國小","下城里、公崙里、
德安里(1-17
鄰)、頂城里(11
-18鄰)、明城
里、安昌里、達觀
里、柴埕里(25
-27鄰除外)","一、柴埕里(25
-27鄰)
【安坑、新
和國小自
由學區】
二、德安里(18
-28鄰)
【安坑、達
觀國中小
國小部自
由學區】","◎自114學年度
調整備註
起，德安里(18
-28鄰)為【安
坑、達觀國中小
國小部自由學
區】","38"
"115","國小","新店區","新和國小","永安里、安和里、
新和里、永平里","柴埕里(25-27
鄰)【新和、安
坑國小自由學
區】","","39"
"115","國小","新店區","直潭國小","直潭里(8-22
鄰)、塗潭里(4
-11鄰)、華城
里","美城里【直潭、
新店國小自由學
區】","開放為全市自由學
區。","39"
"115","國小","新店區","青潭國小","青潭里(3-22
鄰)、美潭里(1
-15鄰)、員潭
里","一、青潭里(1-
2鄰)【青
潭、新店國
小自由學
區】
二、美潭里(16
-20鄰)【青
潭、北新國
小自由學
區】","","39"
"115","國小","新店區","屈尺國小","屈尺里、廣興里、
粗坑里(1、2、3、
9鄰除外)","","開放為全市自由學
區。","39"
"115","國小","新店區","龜山國小","龜山里","","開放為全市自由學
區。","39"
"115","國小","新店區","雙城國小","雙城里、日興里、
香坡里","玫瑰里、吉祥里
【雙城、達觀國
中小國小部自由
學區】","調整備註","39"
"115","國小","新店區","雙峰國小","雙坑里","","開放為全市自由學
區。","40"
"115","國小","新店區","達觀國中小國小部","小城里","一、玫瑰里、吉
祥里【雙
城、達觀國
中小國小部
自由學區】
二、德安里(18
-28鄰)【安
坑、達觀國
中小國小部
自由學區】","◎達觀里及明城
里自114學年
度起調整為可
經里辦公處證
明後請達觀國
中小國小部考
量配合就讀(達
觀里及明城里
各5名為限)。
◎自114學年度
起，德安里(18
-28鄰)為【安
坑、達觀國中小
國小部自由學
區】","40"
"115","國小","深坑區","深坑國小","全區","深坑區土庫里【深
坑、石碇區石碇、
和平國小自由學
區】","","41"
"115","國小","石碇區","石碇國小","石碇里、潭邊里、
烏塗里、彭山里、
豐田里(1-5鄰)","一、深坑區土庫
里(石碇、和
平、深坑區深
坑國小自由
學區)
二、豐田里(6-7
鄰)【永定、
石碇國小自
由學區】","開放為全市自由學
區。","42"
